구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력개월수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H001202107052813,여,44,J00108,전문대학,서울,송파구,서울,,531203,유치원?어린이집 급식 조리사,0,4,0년4월,J03404,알선,,,,,,37:42.0,25:34.0
H001202107052768,남,64,J00106,고등학교,서울,서대문구,서울,,542004,기타 건물 관리원(공원 종교시설 등),35,0,35년0월,J03404,알선,시설관리,영선,건물관리,,,35:53.0,54:12.0
H001202107052756,남,38,J00106,고등학교,서울,,경기,,881101,인쇄판?인쇄필름 출력원,15,0,15년0월,J03402,승인,,,,,,26:21.0,46:38.0
H001202107052739,여,73,J00110,대학_대학교,서울,도봉구,서울,,414902,동화구연사,,,신입,J03402,승인,,,,,,08:40.0,33:48.0
H106202107052695,남,77,J00106,고등학교,서울,성동구,서울,,561100,청소원,,,신입,J03402,승인,,,,,,29:43.0,29:47.0
H001202107052678,남,62,J00106,고등학교,서울,,,,622202,관광 및 통근?통학?학원 및 기타 버스 운전원,25,7,25년7월,J03402,승인,,,,,,06:38.0,20:22.0
H001202107052677,여,26,J00110,대학_대학교,서울,양천구,서울,구로구,306501,물리치료사,2,0,2년0월,J03402,승인,물리치료사,,,,,06:29.0,41:48.0
H001202107052637,여,48,J00110,대학_대학교,서울,,경기,고양시,26102,마케팅?광고?홍보?상품기획 사무원,10,0,10년0월,J03402,승인,,,,,,28:18.0,40:59.0
H001202107052636,남,30,J00110,대학_대학교,,,,,231500,시민단체 활동가,,,신입,J03402,승인,시민단체,국제개발협력,,,,24:41.0,20:50.0
H322202107052620,남,59,J00106,고등학교,서울,서초구,서울,,890000,제조 단순 종사원,10,0,10년0월,J03402,승인,,,,,,04:43.0,04:48.0
H304202107052605,남,63,J00106,고등학교,서울,중구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),,,신입,J03402,승인,,,,,,56:22.0,56:25.0
H129202107052604,여,62,J00104,중학교,서울,송파구,서울,강동구,550200,육아 도우미(베이비시터),,,신입,J03402,승인,,,,,,56:11.0,56:16.0
H322202107052603,여,61,J00108,전문대학,서울,서초구,서울,강남구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03405,알선대기,,,,,,55:13.0,55:17.0
H324202107052602,여,52,J00110,대학_대학교,서울,성북구,서울,강동구,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,54:15.0,54:20.0
H001202107052601,여,61,J00106,고등학교,서울,구로구,서울,영등포구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),2,6,2년6월,J03405,알선대기,,,,,,51:33.0,57:27.0
H120202107052594,여,77,J00102,초등학교,서울,은평구,서울,,561201,환경 미화원,1,0,1년0월,J03402,승인,,,,,,50:10.0,50:14.0
H129202107052571,남,62,J00104,중학교,서울,송파구,서울,강동구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,,,,,,48:52.0,48:56.0
H318202107052570,남,49,J00110,대학_대학교,서울,금천구,서울,,26102,마케팅?광고?홍보?상품기획 사무원,17,0,17년0월,J03402,승인,,,,,,46:52.0,48:45.0
H318202107052569,여,58,J00104,중학교,서울,금천구,서울,관악구,550104,재가 요양보호사,0,4,0년4월,J03402,승인,,,,,,46:47.0,46:52.0
H001202107052568,여,47,J00106,고등학교,서울,영등포구,,,550200,육아 도우미(베이비시터),,,신입,J03402,승인,,,,,,46:43.0,16:38.0
H303202107052567,여,25,J00110,대학_대학교,서울,용산구,서울,,26301,총무 및 일반 사무원,1,0,1년0월,J03402,승인,용산동2가,사무직,,,,46:32.0,46:36.0
